Tweets,Favorite,Retweets,Engagement,Sentiment,Tweet Length,Exclamations/Questions,Capital Letters,Passion
"The show chronicles LA/Hollywood Special Victims Unit investigating sexual assaults that everyone knows about but no one will do anything to stop. Viewers complain it's ""way too realistic"" because no one ever gets charged. 

#SVU #LawAndOrderSVU  ",3,2,5,0.3412698412698413,249,0,19,19
"Breaks my heart to think,# child is been Raped and abused, like me,  #DRCC #mentalhealth #purpleChristmas #SpeakOut #lifeafterabuse ",3,2,5,0.0,132,0,9,9
In the mail.  @TIME ,0,0,0,0.0,20,0,5,5
"You wouldn?t wait for an investigation, so maybe you?ll read this on your holiday recess. Perhaps you?ll understand why  & many in #TheResistance feel betrayed. By our own. @SenGillibrand @chuckschumer @CoryBooker @SenateDems

",17,14,31,0.55,229,0,13,13
"There're no #Democrats  #Republicans #Libertarians  or #greenparty anymore. You're either an #American  or a #TrumpSupporter  

U cannot be both.
#TrumpRussia  #russianSanctions #VoteThemOut #VoteDoug",0,0,0,0.0,203,0,19,19
"Yes, indeed, most of the attention, and far too much of the sympathy, goes to the (male) perpetrators and not to the (mainlly female) victims!  ",3,0,3,0.16,144,1,3,4
Santa put his arm around me and now I?ve got to add him to the naughty list.  ,0,0,0,-0.15000000000000002,78,0,2,2
This movement needs to move into every walk of life where women have abusive male bosses. HR departments are a joke.  ,0,0,0,0.0,118,0,5,5
"Afternoon stroll
 #fashion #style #winecountry #FashionTrends ",1,0,1,0.0,63,0,5,5
: Another #Trump Sexual Harassment Accuser Has Come Forward With Information Trump Didn?t Want Y...  via @bluesidenation,1,0,1,0.5,120,0,14,14
Sandell & Co Daily is out!  #wral ,0,0,0,0.0,34,1,3,4
"Definitely, her voice got crashed under the hypocrisy of @GOP  does this means that Clarence Thomas case could be revised or revisited! ",1,1,2,0.0,136,1,8,9
Dylan Farrow: Why has the  revolution spared Woody Allen? ,0,0,0,0.0,58,1,7,8
How nondisclosure agreements encourage a culture of silence -   ,0,0,0,0.0,64,0,3,3
"Conyers, Franks, Franken, now TRUMP. Investigate!  #SCROTUS #SexualPredatorInChief #UnfitToLead #GrabbyOldPerverts #InvestigateTrump #TrumpRussia #PenceKnew #ImpeachTrumpPenceNow
",0,0,0,0.0,180,1,38,39
"While Trump campaigns for sexual predator and pedophile Roy Moore these brave women rally to increase awareness of the campaign  Trump's support of this Moore, and absence of comment about our global outcry, is an insult to women everywhere not just US. ",1,0,1,0.321875,254,0,8,8
"Have you read this ? ''solipsism'' as now become my favourite word. I need to say it out-loud during a sentence this week. Also, an article about the lack of representation of the black creator of the      will be greatly appreciated.  
@KathleenNB",0,0,0,0.016666666666666673,249,1,6,7
Can someone PL rewrite #BabyItsColdOutside to feature all the outed sexual predators? @nbcsnl @ucbcomedy  #comedy #music #justice @iamsambee @Trevornoah @MILCKMUSIC,3,0,3,0.5,164,1,20,21
This is Not a gender thing. This is a human thing. ,0,0,0,0.0,51,0,3,3
"Beyond #TitleIX Please help pass CASA, a Senate bipartisan act to reform Campus Safety accountability and reporting. #S856 #titleIXtruths    ",1,1,2,0.0,141,0,15,15
"""This conflation of sex with ?sexual misconduct? has led to some concern that what may result from the  moment is a ?sex panic,? with all the attendant public punishment and casting out. But it?s too late: sexual harassment is a form of discipline"" ",0,0,0,0.18,249,0,4,4
The latest Library Business!   #jumanji,0,0,0,0.625,39,1,3,4
" Rally Invites Survivors To Speak Out At Trump Tower In NYC
",0,0,0,0.0,61,0,15,15
The latest Conservative Nation Media Daily ®!  #armynavygame ,0,0,0,0.25,61,1,5,6
Could the ERA pass in the  era? ,0,0,0,0.0,32,1,5,6
Love you @CGarcia_CA! #SilenceBreakers #caleg #wesaidenough  ,4,0,4,0.625,61,1,7,8
"Excellent article. Dr. @AlvedaCKing makes an excellent point on a concern I?ve had with the growing number of  accusations.. while some may be real, are all? I wonder. ",2,2,4,0.7333333333333334,168,1,9,10
"#ThingsITrustMoreThanFoxNews#TheResistance
#DougJones 
#Democrats
#BlackLivesMatter 
#BlueWave 
#JoyReid
#RachaelMaddow
#LawrenceODonnell
 
#MSNBC
#RobertMueller
#SNL",1,1,2,0.0,177,0,36,36
"And you know what? Yeah, it hurts admitting that someone you look up to is most probably guilty of violence against women. But it also hurts being a victim/survivor, and not being believed, not being supported. #ibelieveher  #RobertKnepper #becauseiusedtobeafan",8,3,11,0.0,261,1,5,6
Police should treat assault and harassment in the same manner as rape.  When a women is violated sexually and emotionally the defects last for a long time even after the incident happened. ,0,0,0,0.09,189,0,2,2
Nothing like sharing some drunk  stories in the bathroom with strangers #girlsroom,2,1,3,-0.5,82,0,3,3
"Check out my review of @StevenMWells1 new novel, YES MEANS YES. It's timely in light of today's  movement. What does consent really mean?  #reviews #books #sex #assault #AlFranken #Trump #POTUS #politics",0,0,0,0.07462121212121213,203,1,27,28
"My 82yr old mother: I love this  stuff going on. It?s magnificent. 

Me: Yeah... I worry about backlash. 

Mom: Well, of COURSE. Women always get slapped back down. But this time we?ll be prepared. 

#callyourmother #fiercegranny",0,0,0,0.2888888888888889,235,0,16,16
 is launching an investigation against #mistletoe for promoting hundreds of years of indiscretion,2,1,3,0.0,97,0,2,2
